epi_id,epi_isl,strain,subtype,host_type,sequence_length
SYNTH0000099,SYNTH_ISL_00000099,A/Synthetic_human/SYN/000099/2022,A_/_H5N1,human,759
SYNTH0000100,SYNTH_ISL_00000100,A/Synthetic_human/SYN/000100/2025,A_/_H5N1,human,759
SYNTH0000101,SYNTH_ISL_00000101,A/Synthetic_human/SYN/000101/2021,A_/_H5N1,human,759
SYNTH0000102,SYNTH_ISL_00000102,A/Synthetic_human/SYN/000102/2021,A_/_H5N1,human,253
SYNTH0000103,SYNTH_ISL_00000103,A/Synthetic_human/SYN/000103/2022,A_/_H5N1,human,759
SYNTH0000104,SYNTH_ISL_00000104,A/Synthetic_human/SYN/000104/2025,A_/_H5N1,human,197
SYNTH0000105,SYNTH_ISL_00000105,A/Synthetic_human/SYN/000105/2025,A_/_H5N1,human,759
SYNTH0000106,SYNTH_ISL_00000106,A/Synthetic_human/SYN/000106/2025,A_/_H5N1,human,759
SYNTH0000107,SYNTH_ISL_00000107,A/Synthetic_human/SYN/000107/2022,A_/_H5N1,human,759
SYNTH0000108,SYNTH_ISL_00000108,A/Synthetic_human/SYN/000108/2021,A_/_H5N1,human,759
SYNTH0000109,SYNTH_ISL_00000109,A/Synthetic_human/SYN/000109/2022,A_/_H5N1,human,759
SYNTH0000110,SYNTH_ISL_00000110,A/Synthetic_human/SYN/000110/2025,A_/_H5N1,human,759
SYNTH0000111,SYNTH_ISL_00000111,A/Synthetic_human/SYN/000111/2025,A_/_H5N1,human,759
SYNTH0000112,SYNTH_ISL_00000112,A/Synthetic_human/SYN/000112/2022,A_/_H5N1,human,759
SYNTH0000113,SYNTH_ISL_00000113,A/Synthetic_human/SYN/000113/2024,A_/_H5N1,human,460
SYNTH0000114,SYNTH_ISL_00000114,A/Synthetic_human/SYN/000114/2022,A_/_H5N1,human,759
SYNTH0000115,SYNTH_ISL_00000115,A/Synthetic_human/SYN/000115/2024,A_/_H5N1,human,759
SYNTH0000116,SYNTH_ISL_00000116,A/Synthetic_human/SYN/000116/2022,A_/_H5N1,human,759
SYNTH0000117,SYNTH_ISL_00000117,A/Synthetic_human/SYN/000117/2023,A_/_H5N1,human,759
SYNTH0000118,SYNTH_ISL_00000118,A/Synthetic_human/SYN/000118/2022,A_/_H5N1,human,317
SYNTH0000119,SYNTH_ISL_00000119,A/Synthetic_human/SYN/000119/2023,A_/_H5N1,human,759
SYNTH0000120,SYNTH_ISL_00000120,A/Synthetic_human/SYN/000120/2023,A_/_H5N1,human,759
SYNTH0000121,SYNTH_ISL_00000121,A/Synthetic_human/SYN/000121/2025,A_/_H5N1,human,759
SYNTH0000122,SYNTH_ISL_00000122,A/Synthetic_human/SYN/000122/2021,A_/_H5N1,human,759
SYNTH0000123,SYNTH_ISL_00000123,A/Synthetic_human/SYN/000123/2022,A_/_H5N1,human,759
SYNTH0000124,SYNTH_ISL_00000124,A/Synthetic_human/SYN/000124/2021,A_/_H5N1,human,759
SYNTH0000125,SYNTH_ISL_00000125,A/Synthetic_human/SYN/000125/2023,A_/_H5N1,human,759
SYNTH0000126,SYNTH_ISL_00000126,A/Synthetic_human/SYN/000126/2024,A_/_H5N1,human,759
SYNTH0000127,SYNTH_ISL_00000127,A/Synthetic_human/SYN/000127/2024,A_/_H5N1,human,759
SYNTH0000128,SYNTH_ISL_00000128,A/Synthetic_human/SYN/000128/2023,A_/_H5N1,human,759
SYNTH0000129,SYNTH_ISL_00000129,A/Synthetic_human/SYN/000129/2021,A_/_H5N1,human,759
SYNTH0000130,SYNTH_ISL_00000130,A/Synthetic_human/SYN/000130/2023,A_/_H5N1,human,759
SYNTH0000131,SYNTH_ISL_00000131,A/Synthetic_human/SYN/000131/2025,A_/_H5N1,human,759
SYNTH0000132,SYNTH_ISL_00000132,A/Synthetic_human/SYN/000132/2023,A_/_H5N1,human,759
SYNTH0000133,SYNTH_ISL_00000133,A/Synthetic_human/SYN/000133/2023,A_/_H5N1,human,759
SYNTH0000134,SYNTH_ISL_00000134,A/Synthetic_human/SYN/000134/2025,A_/_H5N1,human,759
SYNTH0000135,SYNTH_ISL_00000135,A/Synthetic_human/SYN/000135/2024,A_/_H5N1,human,759
SYNTH0000136,SYNTH_ISL_00000136,A/Synthetic_human/SYN/000136/2025,A_/_H5N1,human,759
SYNTH0000137,SYNTH_ISL_00000137,A/Synthetic_human/SYN/000137/2025,A_/_H5N1,human,759
SYNTH0000138,SYNTH_ISL_00000138,A/Synthetic_human/SYN/000138/2023,A_/_H5N1,human,759
SYNTH0000139,SYNTH_ISL_00000139,A/Synthetic_human/SYN/000139/2024,A_/_H5N1,human,759
SYNTH0000140,SYNTH_ISL_00000140,A/Synthetic_human/SYN/000140/2025,A_/_H5N1,human,759
SYNTH0000141,SYNTH_ISL_00000141,A/Synthetic_human/SYN/000141/2021,A_/_H5N1,human,759
SYNTH0000142,SYNTH_ISL_00000142,A/Synthetic_human/SYN/000142/2021,A_/_H5N1,human,759
SYNTH0000143,SYNTH_ISL_00000143,A/Synthetic_human/SYN/000143/2023,A_/_H5N1,human,759
SYNTH0000144,SYNTH_ISL_00000144,A/Synthetic_human/SYN/000144/2022,A_/_H5N1,human,370
SYNTH0000145,SYNTH_ISL_00000145,A/Synthetic_human/SYN/000145/2025,A_/_H5N1,human,759
SYNTH0000146,SYNTH_ISL_00000146,A/Synthetic_human/SYN/000146/2024,A_/_H5N1,human,759
SYNTH0000147,SYNTH_ISL_00000147,A/Synthetic_human/SYN/000147/2024,A_/_H5N1,human,759
SYNTH0000148,SYNTH_ISL_00000148,A/Synthetic_human/SYN/000148/2022,A_/_H5N1,human,759
SYNTH0000149,SYNTH_ISL_00000149,A/Synthetic_human/SYN/000149/2021,A_/_H5N1,human,759
SYNTH0000150,SYNTH_ISL_00000150,A/Synthetic_human/SYN/000150/2022,A_/_H5N1,human,759
SYNTH0000151,SYNTH_ISL_00000151,A/Synthetic_human/SYN/000151/2021,A_/_H5N1,human,759
SYNTH0000152,SYNTH_ISL_00000152,A/Synthetic_human/SYN/000152/2024,A_/_H5N1,human,759
SYNTH0000153,SYNTH_ISL_00000153,A/Synthetic_human/SYN/000153/2025,A_/_H5N1,human,759
SYNTH0000154,SYNTH_ISL_00000154,A/Synthetic_human/SYN/000154/2024,A_/_H5N1,human,759
SYNTH0000155,SYNTH_ISL_00000155,A/Synthetic_human/SYN/000155/2025,A_/_H5N1,human,759
SYNTH0000156,SYNTH_ISL_00000156,A/Synthetic_human/SYN/000156/2024,A_/_H5N1,human,759
SYNTH0000157,SYNTH_ISL_00000157,A/Synthetic_human/SYN/000157/2023,A_/_H5N1,human,759
SYNTH0000158,SYNTH_ISL_00000158,A/Synthetic_human/SYN/000158/2022,A_/_H5N1,human,759
SYNTH0000159,SYNTH_ISL_00000159,A/Synthetic_human/SYN/000159/2023,A_/_H5N1,human,759
SYNTH0000160,SYNTH_ISL_00000160,A/Synthetic_human/SYN/000160/2023,A_/_H5N1,human,759
SYNTH0000161,SYNTH_ISL_00000161,A/Synthetic_human/SYN/000161/2022,A_/_H5N1,human,759
SYNTH0000162,SYNTH_ISL_00000162,A/Synthetic_human/SYN/000162/2022,A_/_H5N1,human,759
SYNTH0000163,SYNTH_ISL_00000163,A/Synthetic_human/SYN/000163/2024,A_/_H5N1,human,759
SYNTH0000164,SYNTH_ISL_00000164,A/Synthetic_human/SYN/000164/2024,A_/_H5N1,human,759
SYNTH0000165,SYNTH_ISL_00000165,A/Synthetic_human/SYN/000165/2024,A_/_H5N1,human,759
SYNTH0000166,SYNTH_ISL_00000166,A/Synthetic_human/SYN/000166/2025,A_/_H5N1,human,759
SYNTH0000167,SYNTH_ISL_00000167,A/Synthetic_human/SYN/000167/2023,A_/_H5N1,human,759
SYNTH0000168,SYNTH_ISL_00000168,A/Synthetic_human/SYN/000168/2024,A_/_H5N1,human,759
SYNTH0000169,SYNTH_ISL_00000169,A/Synthetic_human/SYN/000169/2024,A_/_H5N1,human,759
SYNTH0000170,SYNTH_ISL_00000170,A/Synthetic_human/SYN/000170/2024,A_/_H5N1,human,464
SYNTH0000171,SYNTH_ISL_00000171,A/Synthetic_human/SYN/000171/2022,A_/_H5N1,human,759
SYNTH0000172,SYNTH_ISL_00000172,A/Synthetic_human/SYN/000172/2025,A_/_H5N1,human,759
SYNTH0000173,SYNTH_ISL_00000173,A/Synthetic_human/SYN/000173/2025,A_/_H5N1,human,759
SYNTH0000174,SYNTH_ISL_00000174,A/Synthetic_human/SYN/000174/2021,A_/_H5N1,human,759
SYNTH0000175,SYNTH_ISL_00000175,A/Synthetic_human/SYN/000175/2024,A_/_H5N1,human,759
SYNTH0000176,SYNTH_ISL_00000176,A/Synthetic_human/SYN/000176/2024,A_/_H5N1,human,759
SYNTH0000177,SYNTH_ISL_00000177,A/Synthetic_human/SYN/000177/2023,A_/_H5N1,human,759
SYNTH0000178,SYNTH_ISL_00000178,A/Synthetic_human/SYN/000178/2023,A_/_H5N1,human,759
SYNTH0000179,SYNTH_ISL_00000179,A/Synthetic_human/SYN/000179/2023,A_/_H5N1,human,759
SYNTH0000180,SYNTH_ISL_00000180,A/Synthetic_human/SYN/000180/2021,A_/_H5N1,human,759
SYNTH0000181,SYNTH_ISL_00000181,A/Synthetic_human/SYN/000181/2023,A_/_H5N1,human,759
SYNTH0000182,SYNTH_ISL_00000182,A/Synthetic_human/SYN/000182/2021,A_/_H5N1,human,759
SYNTH0000183,SYNTH_ISL_00000183,A/Synthetic_human/SYN/000183/2022,A_/_H5N1,human,759
SYNTH0000184,SYNTH_ISL_00000184,A/Synthetic_human/SYN/000184/2022,A_/_H5N1,human,759
SYNTH0000185,SYNTH_ISL_00000185,A/Synthetic_human/SYN/000185/2025,A_/_H5N1,human,759
SYNTH0000186,SYNTH_ISL_00000186,A/Synthetic_human/SYN/000186/2023,A_/_H5N1,human,759
SYNTH0000187,SYNTH_ISL_00000187,A/Synthetic_human/SYN/000187/2025,A_/_H5N1,human,759
SYNTH0000188,SYNTH_ISL_00000188,A/Synthetic_human/SYN/000188/2022,A_/_H5N1,human,759
SYNTH0000189,SYNTH_ISL_00000189,A/Synthetic_human/SYN/000189/2025,A_/_H5N1,human,439
SYNTH0000190,SYNTH_ISL_00000190,A/Synthetic_human/SYN/000190/2024,A_/_H5N1,human,759
SYNTH0000191,SYNTH_ISL_00000191,A/Synthetic_human/SYN/000191/2021,A_/_H5N1,human,759
SYNTH0000192,SYNTH_ISL_00000192,A/Synthetic_human/SYN/000192/2021,A_/_H5N1,human,759
SYNTH0000193,SYNTH_ISL_00000193,A/Synthetic_human/SYN/000193/2025,A_/_H5N1,human,759
SYNTH0000194,SYNTH_ISL_00000194,A/Synthetic_human/SYN/000194/2023,A_/_H5N1,human,759
SYNTH0000195,SYNTH_ISL_00000195,A/Synthetic_human/SYN/000195/2021,A_/_H5N1,human,759
SYNTH0000196,SYNTH_ISL_00000196,A/Synthetic_human/SYN/000196/2021,A_/_H5N1,human,759
SYNTH0000197,SYNTH_ISL_00000197,A/Synthetic_human/SYN/000197/2021,A_/_H5N1,human,759
SYNTH0000198,SYNTH_ISL_00000198,A/Synthetic_human/SYN/000198/2024,A_/_H5N1,human,759
SYNTH0000199,SYNTH_ISL_00000199,A/Synthetic_human/SYN/000199/2022,A_/_H5N1,human,759
SYNTH0000200,SYNTH_ISL_00000200,A/Synthetic_human/SYN/000200/2025,A_/_H5N1,human,759
SYNTH0000201,SYNTH_ISL_00000201,A/Synthetic_human/SYN/000201/2024,A_/_H5N1,human,759
SYNTH0000202,SYNTH_ISL_00000202,A/Synthetic_human/SYN/000202/2023,A_/_H5N1,human,759
SYNTH0000203,SYNTH_ISL_00000203,A/Synthetic_human/SYN/000203/2023,A_/_H5N1,human,759
SYNTH0000204,SYNTH_ISL_00000204,A/Synthetic_human/SYN/000204/2024,A_/_H5N1,human,759
SYNTH0000205,SYNTH_ISL_00000205,A/Synthetic_human/SYN/000205/2023,A_/_H5N1,human,452
SYNTH0000206,SYNTH_ISL_00000206,A/Synthetic_human/SYN/000206/2024,A_/_H5N1,human,759
SYNTH0000207,SYNTH_ISL_00000207,A/Synthetic_human/SYN/000207/2023,A_/_H5N1,human,759
SYNTH0000208,SYNTH_ISL_00000208,A/Synthetic_human/SYN/000208/2025,A_/_H5N1,human,315
SYNTH0000209,SYNTH_ISL_00000209,A/Synthetic_human/SYN/000209/2022,A_/_H5N1,human,759
SYNTH0000210,SYNTH_ISL_00000210,A/Synthetic_human/SYN/000210/2025,A_/_H5N1,human,759
SYNTH0000211,SYNTH_ISL_00000211,A/Synthetic_human/SYN/000211/2024,A_/_H5N1,human,759
SYNTH0000212,SYNTH_ISL_00000212,A/Synthetic_human/SYN/000212/2021,A_/_H5N1,human,759
SYNTH0000213,SYNTH_ISL_00000213,A/Synthetic_human/SYN/000213/2022,A_/_H5N1,human,759
SYNTH0000214,SYNTH_ISL_00000214,A/Synthetic_human/SYN/000214/2024,A_/_H5N1,human,759
SYNTH0000215,SYNTH_ISL_00000215,A/Synthetic_human/SYN/000215/2024,A_/_H5N1,human,759
SYNTH0000216,SYNTH_ISL_00000216,A/Synthetic_human/SYN/000216/2023,A_/_H5N1,human,759
SYNTH0000217,SYNTH_ISL_00000217,A/Synthetic_human/SYN/000217/2023,A_/_H5N1,human,759
SYNTH0000218,SYNTH_ISL_00000218,A/Synthetic_human/SYN/000218/2022,A_/_H5N1,human,759
SYNTH0000219,SYNTH_ISL_00000219,A/Synthetic_human/SYN/000219/2022,A_/_H5N1,human,759
SYNTH0000220,SYNTH_ISL_00000220,A/Synthetic_human/SYN/000220/2023,A_/_H5N1,human,759
SYNTH0000221,SYNTH_ISL_00000221,A/Synthetic_human/SYN/000221/2021,A_/_H5N1,human,759
SYNTH0000222,SYNTH_ISL_00000222,A/Synthetic_human/SYN/000222/2022,A_/_H5N1,human,759
SYNTH0000223,SYNTH_ISL_00000223,A/Synthetic_human/SYN/000223/2021,A_/_H5N1,human,759
SYNTH0000224,SYNTH_ISL_00000224,A/Synthetic_human/SYN/000224/2023,A_/_H5N1,human,759
SYNTH0000225,SYNTH_ISL_00000225,A/Synthetic_human/SYN/000225/2025,A_/_H5N1,human,759
SYNTH0000226,SYNTH_ISL_00000226,A/Synthetic_human/SYN/000226/2024,A_/_H5N1,human,759
SYNTH0000227,SYNTH_ISL_00000227,A/Synthetic_human/SYN/000227/2025,A_/_H5N1,human,759
SYNTH0000228,SYNTH_ISL_00000228,A/Synthetic_human/SYN/000228/2024,A_/_H5N1,human,759
SYNTH0000229,SYNTH_ISL_00000229,A/Synthetic_human/SYN/000229/2023,A_/_H5N1,human,759
SYNTH0000230,SYNTH_ISL_00000230,A/Synthetic_human/SYN/000230/2021,A_/_H5N1,human,759
SYNTH0000231,SYNTH_ISL_00000231,A/Synthetic_human/SYN/000231/2024,A_/_H5N1,human,759
SYNTH0000232,SYNTH_ISL_00000232,A/Synthetic_human/SYN/000232/2022,A_/_H5N1,human,759
SYNTH0000233,SYNTH_ISL_00000233,A/Synthetic_human/SYN/000233/2021,A_/_H5N1,human,759
SYNTH0000234,SYNTH_ISL_00000234,A/Synthetic_human/SYN/000234/2025,A_/_H5N1,human,759
SYNTH0000235,SYNTH_ISL_00000235,A/Synthetic_human/SYN/000235/2025,A_/_H5N1,human,759
SYNTH0000236,SYNTH_ISL_00000236,A/Synthetic_human/SYN/000236/2023,A_/_H5N1,human,759
SYNTH0000237,SYNTH_ISL_00000237,A/Synthetic_human/SYN/000237/2023,A_/_H5N1,human,759
SYNTH0000238,SYNTH_ISL_00000238,A/Synthetic_human/SYN/000238/2025,A_/_H5N1,human,759
SYNTH0000239,SYNTH_ISL_00000239,A/Synthetic_human/SYN/000239/2022,A_/_H5N1,human,759
SYNTH0000240,SYNTH_ISL_00000240,A/Synthetic_human/SYN/000240/2021,A_/_H5N1,human,759
SYNTH0000241,SYNTH_ISL_00000241,A/Synthetic_human/SYN/000241/2025,A_/_H5N1,human,759
SYNTH0000242,SYNTH_ISL_00000242,A/Synthetic_human/SYN/000242/2024,A_/_H5N1,human,759
SYNTH0000243,SYNTH_ISL_00000243,A/Synthetic_human/SYN/000243/2023,A_/_H5N1,human,759
SYNTH0000244,SYNTH_ISL_00000244,A/Synthetic_human/SYN/000244/2023,A_/_H5N1,human,759
SYNTH0000245,SYNTH_ISL_00000245,A/Synthetic_human/SYN/000245/2021,A_/_H5N1,human,759
SYNTH0000246,SYNTH_ISL_00000246,A/Synthetic_human/SYN/000246/2025,A_/_H5N1,human,759
SYNTH0000247,SYNTH_ISL_00000247,A/Synthetic_human/SYN/000247/2024,A_/_H5N1,human,759
SYNTH0000248,SYNTH_ISL_00000248,A/Synthetic_human/SYN/000248/2022,A_/_H5N1,human,759
SYNTH0000249,SYNTH_ISL_00000249,A/Synthetic_human/SYN/000249/2021,A_/_H5N1,human,759
